"";"VTI";"TLT";"BIL";"GLD";"SPY";"Date";"Date_aux";"carteraevol_sinreb_Activo1";"carteraevol_sinreb_Activo2";"carteraevol_sinreb_Activo3";"carteraevol_sinreb_Activo4";"carteraevol_sinreb_Activo5";"carteraevol_sinreb";"pond_sinreb_Activo1";"pond_sinreb_Activo2";"pond_sinreb_Activo3";"pond_sinreb_Activo4";"pond_sinreb_Activo5";"month";"Cantreb_Activo1";"Cantreb_Activo2";"Cantreb_Activo3";"Cantreb_Activo4";"Cantreb_Activo5";"carteraevol_conreb_Activo1";"carteraevol_conreb_Activo2";"carteraevol_conreb_Activo3";"carteraevol_conreb_Activo4";"carteraevol_conreb_Activo5";"carteraevol_conreb"
"2010-10-29";48,829651;74,478058;87,264755;132,619995;94,621597;2010-10-29;"2010-10";21,7613419115317;33,8761108861337;25,9833918897479;51,5870550764146;0;133,207899763828;0,163363749072793;0,254310074298857;0,195058941217566;0,387267235410785;0;10;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;32,7384734534694;34,5113464536657;29,9655095488469;37,0412171875442;0;134,256546643526
"2010-11-30";49,078953;73,219971;87,264755;135,419998;94,621597;2010-11-30;"2010-11";21,8724454306052;33,3038739634631;25,9833918897479;52,676211421015;0;133,835922704831;0,163427314494957;0,24884106815562;0,194143630234859;0,393587987114565;0;11;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;32,9056212159815;33,9283791007058;29,9655095488469;37,823267580841;0;134,622777446375
"2010-12-31";52,494556;70,511497;87,24572;138,720001;100,947266;2010-12-31;"2010-12";23,394637442935;32,0719330667737;25,9777241506404;53,9598597616241;0;135,404154421973;0,172776363788869;0,236860775828375;0,1918532282967;0,398509632086056;0;12;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;34,1432341624831;34,1432341624831;34,1432341624831;34,1432341624831;0;136,572936649932
"2011-01-31";53,569824;68,33886;87,24572;129,869995;103,299355;2011-01-31;"2011-01";23,8738396103748;31,0837159474804;25,9777241506404;50,517349098367;0;131,452628806863;0,181615535779445;0,236463250903489;0,197620423314685;0,384300790002381;0;1;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;34,8426043431057;33,0911950341538;34,1432341624831;31,9649770617108;0;134,042010601453
"2011-02-28";55,550594;69,466599;87,24572;137,660004;106,887703;2011-02-28;"2011-02";24,756586309058;31,5966644915283;25,9777241506404;53,5475378970377;0;135,878512848264;0,182196476765268;0,232536137091906;0,191183459445495;0,39408392669733;0;2;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;36,1309263918153;33,6372713251048;34,1432341624831;33,8823364871541;0;137,793768366557
"2011-03-31";55,783096;69,486938;87,24572;139,860001;106,900528;2011-03-31;"2011-03";24,8602027677773;31,6059156218319;25,9777241506404;54,4033015125238;0;136,847144052773;0,181664023314876;0,230957802156569;0,189830225032847;0,397547949495708;0;3;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;36,2821491248783;33,6471199209959;34,1432341624831;34,4238230225223;0;138,49632623088
"2011-04-29";57,398705;71,112343;87,24572;152,369995;109,996559;2011-04-29;"2011-04";25,5802124161024;32,3452259837492;25,9777241506404;59,2694889187563;0;143,172651469248;0,17866689031457;0,225917629182809;0,181443340498727;0,413972140003894;0;4;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;37,3329650685737;34,4341771511646;34,1432341624831;37,5029150888009;0;143,413291471022
"2011-05-31";56,789806;73,546448;87,264755;149,639999;108,762978;2011-05-31;"2011-05";25,3088514897548;33,4523710020644;25,9833918897479;58,207564176485;0;142,952178558052;0,177044181802917;0,234010921270987;0,181762825525574;0,407182071400523;0;5;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;36,9369281702275;35,612824896951;34,1506834271838;36,830979592703;0;143,531416087065
"2011-06-30";55,76783;71,83786;87,264755;146;106,928177;2011-06-30;"2011-06";24,8533993473387;32,6752251137181;25,9833918897479;56,791662834526;0;140,303679185331;0,177140040030662;0,232889296299611;0,185193945309344;0,404776718360382;0;6;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;36,2722198931171;34,7854886092076;34,1506834271838;35,9350645313399;0;141,143456460848
"2011-07-29";54,504078;75,009201;87,264755;158,289993;104,789139;2011-07-29;"2011-07";24,2901977106245;34,117699612365;25,9833918897479;61,5722733735307;0;145,963562586268;0,166412749046656;0,233741209161023;0,178012864507819;0,421833177284502;0;7;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;35,4502569364382;36,3211224133245;34,1506834271838;38,9600076241119;0;144,882070401058
"2011-08-31";51,185749;82,260658;87,264755;177,720001;99,028282;2011-08-31;"2011-08";22,8113566690625;37,4160020656597;25,9833918897479;69,1302354502988;0;155,340986074769;0,146846992834736;0,240863683250025;0,167266814421028;0,44502250949421;0;8;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;33,291966768689;39,8324390766223;34,1506834271838;43,7423267427725;0;151,017416015268
"2011-09-30";47,309948;93,124161;87,24572;158,059998;92,153679;2011-09-30;"2011-09";21,0840735733455;42,3572323034278;25,9777241506404;61,4828090002867;0;150,9018390277;0,139720454761822;0,280693943667926;0,172149818173334;0,407435783396918;0;9;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;30,7710885825741;45,0927887009373;34,1432341624831;38,903398821599;0;148,910510267593
"2011-10-31";52,686829;89,558228;87,207695;167,339996;102,211983;2011-10-31;"2011-10";23,4803255117143;40,7352788722505;25,9664020713358;65,0925796682393;0;155,27458612354;0,151218084671195;0,262343503139919;0,167228924704242;0,419209487484644;0;10;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;34,2682913600737;43,3660846795105;34,1283532436365;41,1874901022887;0;152,950219385509
